Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32364464,01/08/2016 01:10:30 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238,500 SAINT JOHN'S PLACE,SAINT JOHN'S PLACE,WASHINGTON AVENUE,CLASSON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/08/2016 09:10:30 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 02:04:12 AM,08 BROOKLYN,BROOKLYN,994904,184579,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67329705625501,-73.96159224277311,"(40.67329705625501, -73.96159224277311)"
32359025,01/08/2016 01:09:45 AM,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11377,,,,,54 STREET,31 AVENUE,INTERSECTION,WOODSIDE,,Precinct,Assigned,01/08/2016 09:09:45 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 02:12:45 AM,01 QUEENS,QUEENS,1009914,215081,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75698691027178,-73.90736481437865,"(40.75698691027178, -73.90736481437865)"
32363563,01/08/2016 01:09:02 AM,,NYPD,New York City Police Department,Noise - Park,Loud Talking,Park/Playground,11230,,,,,EAST   18 STREET,AVENUE L,INTERSECTION,BROOKLYN,,Precinct,Assigned,01/08/2016 09:09:02 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 02:01:17 AM,14 BROOKLYN,BROOKLYN,996012,165422,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62071383783378,-73.95763129752933,"(40.62071383783378, -73.95763129752933)"
32359711,01/08/2016 01:08:29 AM,01/08/2016 03:22:35 AM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11221,952 LAFAYETTE AVENUE,LAFAYETTE AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/08/2016 09:08:29 AM,The Police Department responded to the complaint and took action to fix the condition.,01/08/2016 03:22:03 AM,03 BROOKLYN,BROOKLYN,1002407,191327,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69180656564063,-73.93452569149147,"(40.69180656564063, -73.93452569149147)"
32363337,01/08/2016 01:07:59 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11412,120-32 196 STREET,196 STREET,120 AVENUE,122 AVENUE,,,ADDRESS,SAINT ALBANS,,Precinct,Assigned,01/08/2016 09:07:59 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:31:16 AM,12 QUEENS,QUEENS,1052658,190279,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.688684305520184,-73.7533313724633,"(40.688684305520184, -73.7533313724633)"
32366448,01/08/2016 01:06:41 AM,,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11103,36-19 30 AVENUE,30 AVENUE,36 STREET,37 STREET,,,ADDRESS,ASTORIA,,N/A,Open,01/22/2016 01:06:41 AM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",,01 QUEENS,QUEENS,1007197,217970,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.764923939066406,-73.9171620617995,"(40.764923939066406, -73.9171620617995)"
32362134,01/08/2016 01:05:06 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11226,619 EAST 21 STREET,EAST 21 STREET,DITMAS AVENUE,NEWKIRK AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Assigned,01/08/2016 09:05:06 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:57:46 AM,14 BROOKLYN,BROOKLYN,995957,172033,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.63885970857293,-73.95781794925858,"(40.63885970857293, -73.95781794925858)"
32362595,01/08/2016 01:02:44 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10003,93 4 AVENUE,4 AVENUE,EAST 11 STREET,EAST 12 STREET,,,ADDRESS,NEW YORK,,Precinct,Assigned,01/08/2016 09:02:44 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:20:32 AM,03 MANHATTAN,MANHATTAN,986974,206004,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73210964321319,-73.99017129081973,"(40.73210964321319, -73.99017129081973)"
32359392,01/08/2016 01:01:42 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,2425 WEBSTER AVENUE,WEBSTER AVENUE,EAST 187 STREET,EAST 188 STREET,,,ADDRESS,BRONX,,Precinct,Open,01/08/2016 09:01:42 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,05 BRONX,BRONX,1013714,252431,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85949039092037,-73.893484650213,"(40.85949039092037, -73.893484650213)"
32361072,01/08/2016 12:57:57 AM,,DOT,Department of Transportation,Street Sign - Missing,Stop,Street,11355,,,,,LAWRENCE STREET,60 AVENUE,INTERSECTION,FLUSHING,,N/A,Open,01/15/2016 12:57:57 AM,The Department of Transportation will repair or replace the Stop sign within 3 business days or make a determination that the work is not necessary. Please note your Service Request number for future reference.,,07 QUEENS,QUEENS,1030343,210364,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74395706159798,-73.83365803037901,"(40.74395706159798, -73.83365803037901)"
32361727,01/08/2016 12:57:42 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,School/Pre-School,10128,,,,,EAST   95 STREET,MADISON AVENUE,INTERSECTION,NEW YORK,,N/A,Pending,02/07/2016 12:57:42 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/08/2016 01:07:44 AM,08 MANHATTAN,MANHATTAN,996807,225842,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.786551370806656,-73.9546549104546,"(40.786551370806656, -73.9546549104546)"
32366355,01/08/2016 12:54:30 AM,01/08/2016 12:54:53 AM,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,No Status Call,,10019,712 5 AVENUE,5 AVENUE,5 AVENUE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Closed,01/08/2016 02:54:30 AM,"Your request was submitted to the Department of Homeless Services. The City’s outreach team will assess the homeless individual and offer appropriate assistance within 2 hours. If you asked to know the outcome of your request, you will get a call within 2 hours. No further status will be available through the NYC 311 App, 311, or 311 Online.",,05 MANHATTAN,MANHATTAN,991122,217075,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76249450483886,-73.9751932073919,"(40.76249450483886, -73.9751932073919)"
32360035,01/08/2016 12:53:57 AM,01/08/2016 03:15:11 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,72-20 72 PLACE,72 PLACE,COOPER AVENUE,MYRTLE AVENUE,,,ADDRESS,RIDGEWOOD,,Precinct,Closed,01/08/2016 08:53:57 AM,The Police Department issued a summons in response to the complaint.,01/08/2016 03:14:22 AM,05 QUEENS,QUEENS,1018170,195419,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70299176586782,-73.8776636180638,"(40.70299176586782, -73.8776636180638)"
32361217,01/08/2016 12:52:54 AM,01/08/2016 02:01:16 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10011,200 WEST 18 STREET,WEST 18 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/08/2016 08:52:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2016 02:01:16 AM,04 MANHATTAN,MANHATTAN,984723,209326,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74122811899759,-73.99829309262354,"(40.74122811899759, -73.99829309262354)"
32365517,01/08/2016 12:52:26 AM,,HPD,Department of Housing Preservation and Development,HPD Literature Request,The ABCs of Housing,,,,,,,,,,,,N/A,Assigned,01/09/2016 12:52:26 AM,"The literature will be emailed within 24 hours. If it is not received, please call 311 and submit a new request.",01/08/2016 12:55:14 AM,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
32363761,01/08/2016 12:46:21 AM,01/08/2016 02:16:00 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11204,1846 58 STREET,58 STREET,18 AVENUE,DAHL COURT,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/08/2016 08:46:21 AM,The Police Department issued a summons in response to the complaint.,01/08/2016 02:16:00 AM,12 BROOKLYN,BROOKLYN,988390,166093,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.622562433088675,-73.98508661109464,"(40.622562433088675, -73.98508661109464)"
32362162,01/08/2016 12:46:04 AM,,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10017,303 EAST 46 STREET,EAST 46 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Open,01/08/2016 08:46:04 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,06 MANHATTAN,MANHATTAN,992574,213333,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7522224227101,-73.96995635888153,"(40.7522224227101, -73.96995635888153)"
32365394,01/08/2016 12:45:31 AM,01/08/2016 01:56:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10012,72 THOMPSON STREET,THOMPSON STREET,BROOME STREET,SPRING STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/08/2016 08:45:31 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2016 01:56:34 AM,02 MANHATTAN,MANHATTAN,983429,203218,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.724463134264724,-74.00296198397773,"(40.724463134264724, -74.00296198397773)"
32364958,01/08/2016 12:42:48 AM,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/22/2016 12:47:59 AM,"Your comments have been submitted to the Mayor’s Office. If you provided contact information, the agency will contact you within 14 days. No further status will be available at 311.",,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
32359723,01/08/2016 12:40:44 AM,,CHALL,CHALL,Opinion for the Mayor,HOUSING,,,,,,,,,,,,,Email Sent,01/22/2016 12:41:04 AM,"Your comments have been submitted to the Mayor’s Office. If you provided contact information, the agency will contact you within 14 days. No further status will be available at 311.",,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1197251525,,,,,,
